L,O,1
1504.79,-8.82,-18.96
1504.8,-8.79,-18.96
1504.81,-8.76,-18.95
1504.82,-8.74,-18.95
1504.83,-8.71,-18.93
1504.84,-8.69,-18.94
1504.85,-8.67,-18.9
1504.86,-8.67,-18.88
1504.87,-8.66,-18.89
1504.88,-8.67,-18.87
1504.89,-8.65,-18.85
1504.9,-8.65,-18.89
1504.91,-8.65,-18.85
1504.92,-8.65,-18.84
1504.93,-8.66,-18.87
1504.94,-8.68,-18.86
1504.95,-8.7,-18.83
1504.96,-8.71,-18.84
1504.97,-8.73,-18.82
1504.98,-8.75,-18.85
1504.99,-8.79,-18.84
1505.0,-8.79,-18.87
1505.01,-8.82,-18.86
1505.02,-8.83,-18.92
1505.03,-8.87,-18.89
1505.04,-8.91,-18.88
1505.05,-8.96,-18.9
1505.06,-8.99,-18.9
1505.07,-9.02,-18.92
1505.08,-9.09,-18.92
1505.09,-9.14,-18.96
1505.1,-9.21,-18.96
1505.11,-9.29,-18.97
1505.12,-9.32,-18.98
1505.13,-9.38,-18.98
1505.14,-9.47,-19.0
1505.15,-9.57,-19.01
1505.16,-9.64,-18.96
1505.17,-9.66,-18.98
1505.18,-9.68,-18.99
1505.19,-9.75,-18.97
1505.2,-9.83,-19.0
1505.21,-9.9,-18.97
1505.22,-9.86,-18.96
1505.23,-9.81,-18.95
1505.24,-9.8,-18.93
1505.25,-9.86,-18.89
1505.26,-9.93,-18.89
1505.27,-9.9,-18.91
1505.28,-9.81,-18.9
1505.29,-9.74,-18.91
1505.3,-9.74,-18.9
1505.31,-9.76,-18.89
1505.32,-9.76,-18.89
1505.33,-9.7,-18.86
1505.34,-9.61,-18.84
1505.35,-9.58,-18.84
1505.36,-9.58,-18.85
1505.37,-9.58,-18.87
1505.38,-9.57,-18.88
1505.39,-9.48,-18.87
1505.4,-9.4,-18.88
1505.41,-9.37,-18.88
1505.42,-9.37,-18.87
1505.43,-9.35,-18.85
1505.44,-9.3,-18.89
1505.45,-9.25,-18.88
1505.46,-9.2,-18.9
1505.47,-9.18,-18.92
1505.48,-9.17,-18.93
1505.49,-9.15,-18.91
1505.5,-9.11,-18.96
1505.51,-9.06,-18.91
1505.52,-9.03,-18.91
1505.53,-8.99,-18.93
1505.54,-8.97,-18.91
1505.55,-8.95,-18.88
1505.56,-8.91,-18.89
1505.57,-8.88,-18.9
1505.58,-8.85,-18.87
1505.59,-8.83,-18.88
1505.6,-8.82,-18.87
1505.61,-8.79,-18.83
1505.62,-8.76,-18.84
1505.63,-8.72,-18.83
1505.64,-8.7,-18.83
1505.65,-8.69,-18.83
1505.66,-8.69,-18.83
1505.67,-8.68,-18.81
1505.68,-8.67,-18.82
1505.69,-8.66,-18.84
1505.7,-8.65,-18.82
1505.71,-8.67,-18.81
1505.72,-8.67,-18.82
1505.73,-8.67,-18.81
1505.74,-8.69,-18.82
1505.75,-8.7,-18.85
1505.76,-8.74,-18.84
1505.77,-8.74,-18.84
1505.78,-8.76,-18.88
1505.79,-8.8,-18.85
1505.8,-8.83,-18.88
1505.81,-8.87,-18.85
1505.82,-8.89,-18.85
1505.83,-8.89,-18.87
1505.84,-8.96,-18.88
1505.85,-9.0,-18.88
1505.86,-9.03,-18.91
1505.87,-9.1,-18.89
1505.88,-9.14,-18.88
1505.89,-9.2,-18.86
1505.9,-9.28,-18.86
1505.91,-9.34,-18.85
1505.92,-9.39,-18.85
1505.93,-9.44,-18.88
1505.94,-9.53,-18.86
1505.95,-9.59,-18.88
1505.96,-9.64,-18.92
1505.97,-9.68,-18.88
1505.98,-9.74,-18.85
1505.99,-9.8,-18.85
1506.0,-9.85,-18.83
1506.01,-9.82,-18.86
1506.02,-9.8,-18.88
1506.03,-9.8,-18.85
1506.04,-9.86,-18.9
1506.05,-9.92,-18.9
1506.06,-9.95,-18.88
1506.07,-9.87,-18.9
1506.08,-9.85,-18.9
1506.09,-9.83,-18.87
1506.1,-9.87,-18.9
1506.11,-9.87,-18.92
1506.12,-9.83,-18.92
1506.13,-9.75,-18.95
1506.14,-9.68,-18.94
1506.15,-9.66,-18.92
1506.16,-9.68,-18.93
1506.17,-9.67,-18.95
1506.18,-9.63,-18.9
1506.19,-9.54,-18.9
1506.2,-9.46,-18.91
1506.21,-9.44,-18.91
1506.22,-9.43,-18.9
1506.23,-9.41,-18.9
1506.24,-9.35,-18.88
1506.25,-9.29,-18.85
1506.26,-9.25,-18.84
1506.27,-9.24,-18.82
1506.28,-9.23,-18.82
1506.29,-9.18,-18.85
1506.3,-9.13,-18.83
1506.31,-9.08,-18.82
1506.32,-9.05,-18.86
1506.33,-9.05,-18.84
1506.34,-9.03,-18.8
1506.35,-8.97,-18.84
1506.36,-8.94,-18.81
1506.37,-8.9,-18.8
1506.38,-8.89,-18.82
1506.39,-8.89,-18.8
1506.4,-8.85,-18.83
1506.41,-8.82,-18.86
1506.42,-8.79,-18.85
1506.43,-8.76,-18.84
1506.44,-8.76,-18.87
1506.45,-8.73,-18.87
1506.46,-8.69,-18.86
1506.47,-8.69,-18.88
1506.48,-8.67,-18.88
1506.49,-8.66,-18.87
1506.5,-8.66,-18.89
1506.51,-8.68,-18.87
1506.52,-8.66,-18.88
1506.53,-8.68,-18.88
1506.54,-8.68,-18.86
1506.55,-8.69,-18.86
1506.56,-8.69,-18.87
1506.57,-8.72,-18.85
1506.58,-8.74,-18.83
1506.59,-8.76,-18.85
1506.6,-8.78,-18.84
1506.61,-8.81,-18.84
1506.62,-8.83,-18.83
1506.63,-8.85,-18.85
1506.64,-8.89,-18.84
1506.65,-8.93,-18.84
1506.66,-8.94,-18.84
1506.67,-9.01,-18.82
1506.68,-9.03,-18.86
1506.69,-9.1,-18.85
1506.7,-9.16,-18.83
1506.71,-9.2,-18.89
1506.72,-9.25,-18.88
1506.73,-9.33,-18.85
1506.74,-9.38,-18.89
1506.75,-9.44,-18.89
1506.76,-9.48,-18.88
1506.77,-9.55,-18.93
1506.78,-9.6,-18.93
1506.79,-9.66,-18.96
1506.8,-9.71,-18.97
1506.81,-9.76,-18.99
1506.82,-9.73,-18.99
1506.83,-9.74,-19.01
1506.84,-9.77,-19.0
1506.85,-9.8,-18.98
1506.86,-9.76,-18.96
1506.87,-9.74,-18.98
1506.88,-9.71,-18.96
1506.89,-9.72,-18.97
1506.9,-9.72,-19.0
1506.91,-9.7,-18.97
1506.92,-9.65,-18.96
1506.93,-9.61,-18.94
1506.94,-9.59,-18.89
1506.95,-9.58,-18.88
1506.96,-9.57,-18.88
1506.97,-9.51,-18.86
1506.98,-9.48,-18.88
1506.99,-9.44,-18.87
1507.0,-9.42,-18.84
1507.01,-9.4,-18.85
1507.02,-9.39,-18.83
1507.03,-9.35,-18.8
1507.04,-9.31,-18.78
1507.05,-9.28,-18.79
1507.06,-9.27,-18.79
1507.07,-9.25,-18.8
1507.08,-9.22,-18.83
1507.09,-9.17,-18.83
1507.1,-9.13,-18.84
1507.11,-9.11,-18.86
1507.12,-9.1,-18.86
1507.13,-9.08,-18.84
1507.14,-9.04,-18.86
1507.15,-9.0,-18.86
1507.16,-8.96,-18.88
1507.17,-8.93,-18.92
1507.18,-8.9,-18.92
1507.19,-8.89,-18.91
1507.2,-8.85,-18.94
1507.21,-8.82,-18.89
1507.22,-8.79,-18.86
1507.23,-8.77,-18.89
1507.24,-8.76,-18.89
1507.25,-8.76,-18.85
1507.26,-8.72,-18.89
1507.27,-8.72,-18.87
1507.28,-8.73,-18.84
1507.29,-8.74,-18.85
1507.3,-8.72,-18.82
1507.31,-8.74,-18.79
1507.32,-8.71,-18.81
1507.33,-8.74,-18.81
1507.34,-8.76,-18.77
1507.35,-8.77,-18.8
1507.36,-8.77,-18.8
1507.37,-8.78,-18.79
1507.38,-8.81,-18.8
1507.39,-8.82,-18.77
1507.4,-8.86,-18.77
1507.41,-8.87,-18.79
1507.42,-8.89,-18.78
1507.43,-8.91,-18.77
1507.44,-8.94,-18.79
1507.45,-8.98,-18.79
1507.46,-9.03,-18.83
1507.47,-9.05,-18.85
1507.48,-9.08,-18.85
1507.49,-9.11,-18.84
1507.5,-9.17,-18.85
1507.51,-9.25,-18.87
1507.52,-9.3,-18.84
1507.53,-9.34,-18.86
1507.54,-9.37,-18.9
1507.55,-9.43,-18.89
1507.56,-9.5,-18.91
1507.57,-9.58,-18.92
1507.58,-9.6,-18.89
1507.59,-9.64,-18.91
1507.6,-9.67,-18.92
1507.61,-9.74,-18.88
1507.62,-9.8,-18.88
1507.63,-9.82,-18.89
1507.64,-9.78,-18.9
1507.65,-9.76,-18.88
1507.66,-9.74,-18.9
1507.67,-9.78,-18.85
1507.68,-9.77,-18.89
1507.69,-9.74,-18.85
1507.7,-9.69,-18.83
1507.71,-9.67,-18.85
1507.72,-9.65,-18.81
1507.73,-9.62,-18.82
1507.74,-9.63,-18.85
1507.75,-9.57,-18.84
1507.76,-9.52,-18.82
1507.77,-9.45,-18.84
1507.78,-9.44,-18.83
1507.79,-9.44,-18.81
1507.8,-9.43,-18.83
1507.81,-9.37,-18.83
1507.82,-9.34,-18.83
1507.83,-9.31,-18.83
1507.84,-9.31,-18.83
1507.85,-9.3,-18.82
1507.86,-9.25,-18.86
1507.87,-9.19,-18.87
1507.88,-9.16,-18.85
1507.89,-9.13,-18.83
1507.9,-9.12,-18.84
1507.91,-9.1,-18.82
1507.92,-9.08,-18.84
1507.93,-9.03,-18.85
1507.94,-9.0,-18.85
1507.95,-8.96,-18.84
1507.96,-8.95,-18.85
1507.97,-8.91,-18.82
1507.98,-8.89,-18.82
1507.99,-8.86,-18.82
1508.0,-8.83,-18.77
1508.01,-8.82,-18.78
1508.02,-8.81,-18.81
1508.03,-8.79,-18.79
1508.04,-8.77,-18.78
1508.05,-8.76,-18.79
1508.06,-8.75,-18.75
1508.07,-8.74,-18.76
1508.08,-8.74,-18.76
1508.09,-8.74,-18.75
1508.1,-8.76,-18.74
1508.11,-8.74,-18.79
1508.12,-8.74,-18.76
1508.13,-8.76,-18.8
1508.14,-8.76,-18.82
1508.15,-8.77,-18.8
1508.16,-8.77,-18.81
1508.17,-8.77,-18.81
1508.18,-8.77,-18.8
1508.19,-8.81,-18.8
1508.2,-8.82,-18.84
1508.21,-8.84,-18.81
1508.22,-8.86,-18.83
1508.23,-8.87,-18.85
1508.24,-8.9,-18.83
1508.25,-8.96,-18.81
1508.26,-8.99,-18.82
1508.27,-9.02,-18.78
1508.28,-9.05,-18.76
1508.29,-9.09,-18.82
1508.3,-9.16,-18.78
1508.31,-9.22,-18.8
1508.32,-9.25,-18.83
1508.33,-9.3,-18.78
1508.34,-9.35,-18.77
1508.35,-9.43,-18.82
1508.36,-9.52,-18.77
1508.37,-9.57,-18.74
1508.38,-9.58,-18.78
1508.39,-9.61,-18.79
1508.4,-9.67,-18.79
1508.41,-9.74,-18.82
1508.42,-9.73,-18.83
1508.43,-9.74,-18.8
1508.44,-9.72,-18.83
1508.45,-9.71,-18.83
1508.46,-9.72,-18.81
1508.47,-9.72,-18.86
1508.48,-9.72,-18.82
1508.49,-9.71,-18.83
1508.5,-9.65,-18.87
1508.51,-9.65,-18.88
1508.52,-9.65,-18.88
1508.53,-9.65,-18.88
1508.54,-9.61,-18.89
1508.55,-9.56,-18.87
1508.56,-9.53,-18.86
1508.57,-9.51,-18.87
1508.58,-9.5,-18.85
1508.59,-9.48,-18.85
1508.6,-9.45,-18.87
1508.61,-9.39,-18.84
1508.62,-9.36,-18.84
1508.63,-9.34,-18.83
1508.64,-9.34,-18.79
1508.65,-9.31,-18.79
1508.66,-9.29,-18.76
1508.67,-9.23,-18.74
1508.68,-9.2,-18.77
1508.69,-9.17,-18.79
1508.7,-9.15,-18.72
1508.71,-9.11,-18.75
1508.72,-9.05,-18.77
1508.73,-9.02,-18.73
1508.74,-8.96,-18.74
1508.75,-8.96,-18.72
1508.76,-8.95,-18.71
1508.77,-8.91,-18.75
1508.78,-8.88,-18.74
1508.79,-8.86,-18.72
1508.8,-8.84,-18.74
1508.81,-8.84,-18.76
1508.82,-8.81,-18.75
1508.83,-8.78,-18.78
1508.84,-8.76,-18.77
1508.85,-8.76,-18.75
1508.86,-8.76,-18.75
1508.87,-8.76,-18.79
1508.88,-8.76,-18.77
1508.89,-8.76,-18.81
1508.9,-8.74,-18.83
1508.91,-8.74,-18.79
1508.92,-8.74,-18.8
1508.93,-8.76,-18.81
1508.94,-8.76,-18.77
1508.95,-8.76,-18.78
1508.96,-8.76,-18.81
1508.97,-8.78,-18.8
1508.98,-8.79,-18.8
1508.99,-8.81,-18.8
1509.0,-8.82,-18.77
1509.01,-8.84,-18.76
1509.02,-8.87,-18.75
1509.03,-8.9,-18.72
1509.04,-8.93,-18.72
1509.05,-8.96,-18.72
1509.06,-8.96,-18.71
1509.07,-9.0,-18.72
1509.08,-9.05,-18.75
1509.09,-9.11,-18.71
1509.1,-9.13,-18.69
1509.11,-9.17,-18.72
1509.12,-9.21,-18.69
1509.13,-9.29,-18.7
1509.14,-9.36,-18.74
1509.15,-9.41,-18.73
1509.16,-9.42,-18.74
1509.17,-9.49,-18.78
1509.18,-9.56,-18.76
1509.19,-9.64,-18.77
1509.2,-9.66,-18.81
1509.21,-9.68,-18.81
1509.22,-9.69,-18.81
1509.23,-9.74,-18.83
1509.24,-9.79,-18.82
1509.25,-9.8,-18.82
1509.26,-9.78,-18.87
1509.27,-9.75,-18.89
1509.28,-9.72,-18.86
1509.29,-9.74,-18.88
1509.3,-9.72,-18.88
