L,O,1
1505.26,-9.56,-48.57
1505.27,-9.58,-48.51
1505.28,-9.6,-48.51
1505.29,-9.67,-48.38
1505.3,-9.76,-48.41
1505.31,-9.84,-48.14
1505.32,-9.81,-48.16
1505.33,-9.77,-48.16
1505.34,-9.77,-48.2
1505.35,-9.87,-48.06
1505.36,-9.95,-48.01
1505.37,-9.91,-47.9
1505.38,-9.81,-48.11
1505.39,-9.76,-48.27
1505.4,-9.76,-48.13
1505.41,-9.78,-48.04
1505.42,-9.77,-48.15
1505.43,-9.7,-48.08
1505.44,-9.61,-48.17
1505.45,-9.6,-48.22
1505.46,-9.58,-48.24
1505.47,-9.58,-48.35
1505.48,-9.54,-48.2
1505.49,-9.49,-48.48
1505.5,-9.43,-48.42
1505.51,-9.38,-48.48
1505.52,-9.37,-48.45
1505.53,-9.36,-48.52
1505.54,-9.32,-48.56
1505.55,-9.24,-48.58
1505.56,-9.2,-48.67
1505.57,-9.18,-48.84
1505.58,-9.17,-48.82
1505.59,-9.13,-48.7
1505.6,-9.11,-48.9
1505.61,-9.08,-48.75
1505.62,-9.01,-48.91
1505.63,-8.99,-48.72
1505.64,-8.97,-49.06
1505.65,-8.95,-49.08
1505.66,-8.9,-49.1
1505.67,-8.87,-49.02
1505.68,-8.83,-49.15
1505.69,-8.82,-49.12
1505.7,-8.79,-49.22
1505.71,-8.76,-49.29
1505.72,-8.74,-49.31
1505.73,-8.7,-49.42
1505.74,-8.68,-49.41
1505.75,-8.65,-49.26
1505.76,-8.63,-49.61
1505.77,-8.63,-49.57
1505.78,-8.62,-49.57
1505.79,-8.62,-49.55
1505.8,-8.63,-49.55
1505.81,-8.62,-49.54
1505.82,-8.63,-49.59
1505.83,-8.66,-49.55
1505.84,-8.68,-49.51
1505.85,-8.7,-49.4
1505.86,-8.74,-49.58
1505.87,-8.76,-49.53
1505.88,-8.77,-49.53
1505.89,-8.79,-49.35
1505.9,-8.82,-49.37
1505.91,-8.83,-49.49
1505.92,-8.87,-49.46
1505.93,-8.9,-49.37
1505.94,-8.93,-49.37
1505.95,-8.97,-49.31
1505.96,-9.02,-49.28
1505.97,-9.06,-49.25
1505.98,-9.12,-49.19
1505.99,-9.17,-49.1
1506.0,-9.22,-49.02
1506.01,-9.27,-49.09
1506.02,-9.3,-48.97
1506.03,-9.38,-48.95
1506.04,-9.46,-48.76
1506.05,-9.5,-48.77
1506.06,-9.55,-48.73
1506.07,-9.58,-48.63
1506.08,-9.66,-48.47
1506.09,-9.79,-48.44
1506.1,-9.87,-48.26
1506.11,-9.84,-48.23
1506.12,-9.81,-48.18
1506.13,-9.8,-48.27
1506.14,-9.9,-48.28
1506.15,-9.98,-48.13
1506.16,-10.0,-48.24
1506.17,-9.9,-48.26
1506.18,-9.82,-48.13
1506.19,-9.81,-48.22
1506.2,-9.87,-48.01
1506.21,-9.86,-48.13
1506.22,-9.81,-48.11
1506.23,-9.69,-48.3
1506.24,-9.62,-48.31
1506.25,-9.61,-48.33
1506.26,-9.61,-48.43
1506.27,-9.59,-48.33
1506.28,-9.52,-48.43
1506.29,-9.45,-48.54
1506.3,-9.41,-48.51
1506.31,-9.39,-48.54
1506.32,-9.38,-48.67
1506.33,-9.34,-48.67
1506.34,-9.29,-48.67
1506.35,-9.22,-48.78
1506.36,-9.17,-48.7
1506.37,-9.19,-48.68
1506.38,-9.17,-48.84
1506.39,-9.14,-48.74
1506.4,-9.1,-48.95
1506.41,-9.04,-49.08
1506.42,-9.03,-48.85
1506.43,-9.02,-48.96
1506.44,-8.97,-49.02
1506.45,-8.93,-49.06
1506.46,-8.9,-49.11
1506.47,-8.86,-49.1
1506.48,-8.83,-49.18
1506.49,-8.82,-49.32
1506.5,-8.82,-49.32
1506.51,-8.77,-49.46
1506.52,-8.75,-49.41
1506.53,-8.74,-49.44
1506.54,-8.7,-49.41
1506.55,-8.69,-49.49
1506.56,-8.69,-49.48
1506.57,-8.67,-49.48
1506.58,-8.66,-49.56
1506.59,-8.66,-49.57
1506.6,-8.68,-49.58
1506.61,-8.67,-49.67
1506.62,-8.69,-49.65
1506.63,-8.7,-49.62
1506.64,-8.69,-49.65
1506.65,-8.72,-49.62
1506.66,-8.73,-49.72
1506.67,-8.75,-49.68
1506.68,-8.77,-49.58
1506.69,-8.79,-49.56
1506.7,-8.82,-49.58
1506.71,-8.83,-49.54
1506.72,-8.86,-49.59
1506.73,-8.89,-49.53
1506.74,-8.89,-49.48
1506.75,-8.92,-49.48
1506.76,-8.96,-49.42
1506.77,-9.01,-49.41
1506.78,-9.04,-49.39
1506.79,-9.09,-49.31
1506.8,-9.14,-49.28
1506.81,-9.21,-49.31
1506.82,-9.25,-49.14
1506.83,-9.31,-49.08
1506.84,-9.37,-48.92
1506.85,-9.4,-48.96
1506.86,-9.45,-48.98
1506.87,-9.5,-48.88
1506.88,-9.58,-48.75
1506.89,-9.63,-48.65
1506.9,-9.65,-48.65
1506.91,-9.65,-48.69
1506.92,-9.67,-48.63
1506.93,-9.7,-48.59
1506.94,-9.74,-48.37
1506.95,-9.72,-48.36
1506.96,-9.71,-48.46
1506.97,-9.69,-48.45
1506.98,-9.67,-48.56
1506.99,-9.71,-48.51
1507.0,-9.68,-48.44
1507.01,-9.65,-48.38
1507.02,-9.61,-48.51
1507.03,-9.59,-48.63
1507.04,-9.59,-48.58
1507.05,-9.59,-48.55
1507.06,-9.56,-48.65
1507.07,-9.52,-48.64
1507.08,-9.44,-48.82
1507.09,-9.44,-48.61
1507.1,-9.43,-48.53
1507.11,-9.43,-48.62
1507.12,-9.39,-48.72
1507.13,-9.35,-48.84
1507.14,-9.3,-48.85
1507.15,-9.29,-48.89
1507.16,-9.25,-48.95
1507.17,-9.23,-48.86
1507.18,-9.17,-49.02
1507.19,-9.14,-48.97
1507.2,-9.1,-48.97
1507.21,-9.09,-49.08
1507.22,-9.08,-49.06
1507.23,-9.02,-49.03
1507.24,-8.97,-49.13
1507.25,-8.93,-49.16
1507.26,-8.89,-49.35
1507.27,-8.88,-49.27
1507.28,-8.88,-49.29
1507.29,-8.85,-49.34
1507.3,-8.82,-49.37
1507.31,-8.81,-49.45
1507.32,-8.79,-49.47
1507.33,-8.77,-49.49
1507.34,-8.76,-49.52
1507.35,-8.76,-49.51
1507.36,-8.76,-49.67
1507.37,-8.76,-49.53
1507.38,-8.76,-49.64
1507.39,-8.76,-49.5
